BCU_Code|BCU_Name|Major_Crime_Category|Minor_Crime_Category|Number_of_Records|Borough|Sum_Value|Type|Month|Year
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|1|Sanction Detections|2|2011
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|0|Sanction Detections|2|2011
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|1|Sanction Detections|2|2011
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|0|Sanction Detections|2|2011
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|0|Sanction Detections|2|2011
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|1|Sanction Detections|2|2011
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Sanction Detections|2|2011
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|2|Sanction Detections|2|2011
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|2|Sanction Detections|2|2011
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|0|Sanction Detections|2|2011
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|108|Offences|3|2011
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|79|Offences|3|2011
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|119|Offences|3|2011
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|106|Offences|3|2011
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|8|Offences|1|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|31|Offences|1|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|6|Offences|1|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|6|Offences|1|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|18|Offences|1|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|6|Offences|1|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|21|Offences|1|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|22|Offences|1|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|7|Offences|1|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|35|Offences|1|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|22|Offences|1|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|31|Offences|1|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|79|Offences|1|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Offences|1|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|49|Offences|1|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|42|Offences|1|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|9|Offences|1|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|1|Sanction Detections|1|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|4|Sanction Detections|1|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|2|Sanction Detections|1|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|2|Sanction Detections|1|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|2|Sanction Detections|1|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|1|Sanction Detections|1|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|4|Sanction Detections|1|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|0|Sanction Detections|1|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|6|Sanction Detections|1|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|0|Sanction Detections|1|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|1|Sanction Detections|1|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|1|Sanction Detections|1|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|0|Sanction Detections|1|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|0|Sanction Detections|1|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|1|Sanction Detections|1|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|3|Sanction Detections|1|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|0|Sanction Detections|1|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|0|Sanction Detections|1|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|0|Sanction Detections|1|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|0|Sanction Detections|1|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|0|Sanction Detections|1|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|0|Sanction Detections|1|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|1|Sanction Detections|1|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|1|Sanction Detections|1|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|0|Sanction Detections|1|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|1|Sanction Detections|1|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|1|Sanction Detections|1|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|1|Sanction Detections|1|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|4|Sanction Detections|1|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Sanction Detections|1|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|0|Sanction Detections|1|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|0|Sanction Detections|1|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|3|Sanction Detections|1|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|90|Offences|2|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|71|Offences|2|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|73|Offences|2|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|79|Offences|2|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|54|Offences|2|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|72|Offences|2|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|40|Offences|2|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|82|Offences|2|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|62|Offences|2|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|7|Offences|2|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|13|Offences|2|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|25|Offences|2|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|16|Offences|2|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|18|Offences|2|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|23|Offences|2|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|24|Offences|2|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|7|Offences|2|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|17|Offences|2|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|14|Offences|2|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|14|Offences|2|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|19|Offences|2|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|9|Offences|2|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|14|Offences|2|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|12|Offences|2|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|8|Offences|2|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|1|Sanction Detections|3|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|1|Sanction Detections|3|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|2|Sanction Detections|3|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|2|Sanction Detections|3|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|2|Sanction Detections|3|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|0|Sanction Detections|3|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|2|Sanction Detections|3|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Sanction Detections|3|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|0|Sanction Detections|3|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|2|Sanction Detections|3|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|0|Sanction Detections|3|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|95|Offences|4|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|84|Offences|4|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|70|Offences|4|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|76|Offences|4|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|78|Offences|4|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|93|Offences|4|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|44|Offences|4|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|81|Offences|4|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|58|Offences|4|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|14|Offences|4|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|13|Offences|4|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|23|Offences|4|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|15|Offences|4|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|34|Offences|4|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|36|Offences|4|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|26|Offences|4|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|25|Offences|8|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|55|Offences|8|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|23|Offences|8|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|18|Offences|8|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|36|Offences|8|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|21|Offences|8|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|41|Offences|8|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|30|Offences|8|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|13|Offences|8|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|75|Offences|8|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|46|Offences|8|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|38|Offences|8|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|149|Offences|8|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|2|Offences|8|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|71|Offences|8|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|72|Offences|8|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|31|Offences|8|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|12|Sanction Detections|8|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|2|Sanction Detections|8|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|1|Sanction Detections|8|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|3|Sanction Detections|8|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|0|Sanction Detections|8|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|4|Sanction Detections|8|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|0|Sanction Detections|8|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|0|Sanction Detections|8|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|6|Sanction Detections|8|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|1|Sanction Detections|8|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|1|Sanction Detections|8|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|3|Sanction Detections|8|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|0|Sanction Detections|1|2012
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|1|Sanction Detections|1|2012
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|1|Sanction Detections|1|2012
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|1|Sanction Detections|1|2012
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|2|Sanction Detections|1|2012
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|0|Sanction Detections|1|2012
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|1|Sanction Detections|1|2012
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|0|Sanction Detections|1|2012
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|0|Sanction Detections|1|2012
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|1|Sanction Detections|1|2012
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|0|Sanction Detections|1|2012
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|0|Sanction Detections|1|2012
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|0|Sanction Detections|1|2012
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|0|Sanction Detections|1|2012
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|2|Sanction Detections|1|2012
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|1|Sanction Detections|1|2012
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|0|Sanction Detections|1|2012
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|1|Sanction Detections|1|2012
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|0|Sanction Detections|1|2012
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|0|Sanction Detections|1|2012
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|0|Sanction Detections|1|2012
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|2|Sanction Detections|1|2012
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|0|Sanction Detections|1|2012
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Sanction Detections|1|2012
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|2|Sanction Detections|1|2012
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|3|Sanction Detections|1|2012
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|0|Sanction Detections|1|2012
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|82|Offences|2|2012
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|75|Offences|2|2012
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|68|Offences|2|2012
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|57|Offences|2|2012
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|59|Offences|2|2012
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|79|Offences|2|2012
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|50|Offences|2|2012
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|79|Offences|2|2012
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|69|Offences|2|2012
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|1|Sanction Detections|5|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|0|Sanction Detections|5|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|17|Sanction Detections|5|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|0|Sanction Detections|5|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|0|Sanction Detections|5|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|1|Sanction Detections|5|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|0|Sanction Detections|5|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|0|Sanction Detections|5|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|2|Sanction Detections|5|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|0|Sanction Detections|5|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|0|Sanction Detections|5|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|0|Sanction Detections|5|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|0|Sanction Detections|5|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|4|Sanction Detections|5|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|2|Sanction Detections|5|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|0|Sanction Detections|5|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|1|Sanction Detections|5|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Sanction Detections|5|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|3|Sanction Detections|5|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|2|Sanction Detections|5|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|0|Sanction Detections|5|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|161|Offences|6|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|142|Offences|6|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|113|Offences|6|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|93|Offences|6|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|129|Offences|6|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|133|Offences|6|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|58|Offences|6|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|112|Offences|6|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|97|Offences|6|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|18|Offences|6|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|13|Offences|6|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|16|Offences|6|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|17|Offences|6|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|40|Offences|6|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|24|Offences|6|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|35|Offences|6|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|8|Offences|6|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|48|Offences|6|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|32|Offences|6|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|14|Offences|6|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|48|Offences|6|2013
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|19|Offences|6|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|23|Offences|6|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|27|Offences|6|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|7|Offences|6|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|85|Offences|6|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|39|Offences|6|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|37|Offences|6|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|160|Offences|6|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|1|Offences|6|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|54|Offences|6|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|87|Offences|6|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|25|Offences|6|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|12|Sanction Detections|6|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|1|Sanction Detections|6|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|1|Sanction Detections|6|2013
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|4|Sanction Detections|6|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|2|Sanction Detections|6|2013
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|2|Sanction Detections|6|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|0|Sanction Detections|6|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|0|Sanction Detections|6|2013
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|4|Sanction Detections|6|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|2|Sanction Detections|6|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|1|Sanction Detections|6|2013
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|1|Sanction Detections|6|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|0|Sanction Detections|6|2013
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|0|Sanction Detections|6|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|32|Sanction Detections|6|2013
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|0|Sanction Detections|6|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|0|Sanction Detections|6|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|1|Sanction Detections|6|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|0|Sanction Detections|6|2013
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|16|Offences|8|2012
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|38|Offences|8|2012
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|28|Offences|8|2012
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|28|Offences|8|2012
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|30|Offences|8|2012
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|10|Offences|8|2012
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|51|Offences|8|2012
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|40|Offences|8|2012
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|17|Offences|8|2012
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|77|Offences|8|2012
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|47|Offences|8|2012
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|17|Offences|8|2012
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|113|Offences|8|2012
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|1|Offences|8|2012
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|86|Offences|8|2012
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|115|Offences|8|2012
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|37|Offences|8|2012
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|1|Sanction Detections|8|2012
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|9|Sanction Detections|8|2012
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|2|Sanction Detections|8|2012
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|3|Sanction Detections|8|2012
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|3|Sanction Detections|8|2012
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|3|Sanction Detections|8|2012
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|0|Sanction Detections|8|2012
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|2|Sanction Detections|8|2012
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|4|Sanction Detections|8|2012
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|0|Sanction Detections|8|2012
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|1|Sanction Detections|8|2012
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|1|Sanction Detections|8|2012
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|0|Sanction Detections|8|2012
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|1|Sanction Detections|8|2012
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|1|Sanction Detections|8|2012
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|1|Sanction Detections|8|2012
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|1|Sanction Detections|8|2012
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|0|Sanction Detections|8|2012
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|1|Sanction Detections|8|2012
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|13|Offences|12|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|19|Offences|12|2013
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|6|Offences|12|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|36|Offences|12|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|18|Offences|12|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|30|Offences|12|2013
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|69|Offences|12|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Offences|12|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|32|Offences|12|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|35|Offences|12|2013
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|23|Offences|12|2013
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|1|Sanction Detections|12|2013
