BCU_Code|BCU_Name|Major_Crime_Category|Minor_Crime_Category|Number_of_Records|Borough|Sum_Value|Type|Month|Year
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|1|Sanction Detections|4|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|1|Sanction Detections|4|2010
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|0|Sanction Detections|4|2010
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|2|Sanction Detections|4|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|0|Sanction Detections|4|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|2|Sanction Detections|4|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|4|Sanction Detections|4|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|0|Sanction Detections|4|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|1|Sanction Detections|4|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|0|Sanction Detections|4|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|0|Sanction Detections|4|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|0|Sanction Detections|4|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|0|Sanction Detections|4|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|0|Sanction Detections|4|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|0|Sanction Detections|4|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|2|Sanction Detections|4|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|0|Sanction Detections|4|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|5|Sanction Detections|6|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|2|Sanction Detections|6|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|3|Sanction Detections|6|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|1|Sanction Detections|6|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|0|Sanction Detections|6|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|1|Sanction Detections|6|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|0|Sanction Detections|6|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|0|Sanction Detections|6|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|1|Sanction Detections|6|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|1|Sanction Detections|6|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|0|Sanction Detections|6|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|2|Sanction Detections|6|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|1|Sanction Detections|6|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|0|Sanction Detections|6|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|0|Sanction Detections|6|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|0|Sanction Detections|6|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|0|Sanction Detections|6|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|1|Sanction Detections|6|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|0|Sanction Detections|6|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|0|Sanction Detections|6|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|4|Sanction Detections|6|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|0|Sanction Detections|6|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|3|Sanction Detections|6|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Sanction Detections|6|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|0|Sanction Detections|6|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|1|Sanction Detections|6|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|0|Sanction Detections|6|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|0|Sanction Detections|12|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|0|Sanction Detections|12|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|1|Sanction Detections|12|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|1|Sanction Detections|4|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|0|Sanction Detections|4|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|2|Sanction Detections|4|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|0|Sanction Detections|4|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|3|Sanction Detections|4|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|0|Sanction Detections|4|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|0|Sanction Detections|4|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|1|Sanction Detections|4|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|0|Sanction Detections|4|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|4|Sanction Detections|4|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Sanction Detections|4|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|1|Sanction Detections|4|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|2|Sanction Detections|4|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|0|Sanction Detections|4|2010
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|176|Offences|5|2010
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|151|Offences|5|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|199|Offences|5|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|184|Offences|5|2010
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|105|Offences|5|2010
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|114|Offences|5|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|110|Offences|5|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|194|Offences|5|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|110|Offences|5|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|12|Offences|5|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|10|Offences|5|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|19|Offences|5|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|21|Offences|5|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|45|Offences|5|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|39|Offences|5|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|35|Offences|5|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|16|Offences|5|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|36|Offences|5|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|23|Offences|5|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|21|Offences|5|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|25|Offences|5|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|24|Offences|5|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|54|Offences|5|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|20|Offences|5|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|18|Offences|5|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|71|Offences|5|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|45|Offences|5|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|43|Offences|5|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|112|Offences|5|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Offences|5|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|70|Offences|5|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|67|Offences|5|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|19|Offences|5|2010
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|3|Sanction Detections|5|2010
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|1|Sanction Detections|5|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|1|Sanction Detections|5|2010
